Index,Coefficient
0,-0.000407262495047215
1,0.004373177199250000
2,0.003313415967840470
3,0.004114639578886260
4,0.005113943208399860
5,0.006118974523725270
6,0.007058596308831520
7,0.007868858359066550
8,0.008486689686156140
9,0.008853561534224420
10,0.008920327421463650
11,0.008651743886789440
12,0.008029957395479360
13,0.007057812501648140
14,0.005760921959735130
15,0.004188201743197040
16,0.002409983221715970
17,0.000516386566963825
18,-0.001388385910668090
19,-0.003191326238241230
20,-0.004777790374479500
21,-0.006039500798476810
22,-0.006882171036689010
23,-0.007233213443080480
24,-0.007048500058549510
25,-0.006317541353959310
26,-0.005067130312856030
27,-0.003360427332833700
28,-0.001292807642550550
29,0.000991783003477930
30,0.003355858169554920
31,0.005616705507966630
32,0.007599195153414730
33,0.009136841411654980
34,0.010082527278390600
35,0.010317972867630100
36,0.009766343641593770
37,0.008402712629570390
38,0.006259570939639940
39,0.003427828617112730
40,0.000055173270403821
41,-0.003659071653596550
42,-0.007472270104149230
43,-0.011111773902832400
44,-0.014285961626880000
45,-0.016706029499667400
46,-0.018100886059270000
47,-0.018235892203766200
48,-0.016929019860168700
49,-0.014064127383861100
50,-0.009601664312618830
51,-0.003585282199204390
52,0.003855999766387300
53,0.012510393326523200
54,0.022091604255441600
55,0.032250988637017800
56,0.042592816671795900
57,0.052700551669295800
58,0.062146141813007400
59,0.070524185815597600
60,0.077466336097229500
61,0.082662175864172900
62,0.085876827749391900
63,0.086964767575710800
64,0.085876827749391900
65,0.082662175864172900
66,0.077466336097229500
67,0.070524185815597600
68,0.062146141813007400
69,0.052700551669295800
70,0.042592816671795900
71,0.032250988637017800
72,0.022091604255441600
73,0.012510393326523200
74,0.003855999766387300
75,-0.003585282199204390
76,-0.009601664312618830
77,-0.014064127383861100
78,-0.016929019860168700
79,-0.018235892203766200
80,-0.018100886059270000
81,-0.016706029499667400
82,-0.014285961626880000
83,-0.011111773902832400
84,-0.007472270104149230
85,-0.003659071653596550
86,0.000055173270403821
87,0.003427828617112730
88,0.006259570939639940
89,0.008402712629570390
90,0.009766343641593770
91,0.010317972867630100
92,0.010082527278390600
93,0.009136841411654980
94,0.007599195153414730
95,0.005616705507966630
96,0.003355858169554920
97,0.000991783003477930
98,-0.001292807642550550
99,-0.003360427332833700
100,-0.005067130312856030
101,-0.006317541353959310
102,-0.007048500058549510
103,-0.007233213443080480
104,-0.006882171036689010
105,-0.006039500798476810
106,-0.004777790374479500
107,-0.003191326238241230
108,-0.001388385910668090
109,0.000516386566963825
110,0.002409983221715970
111,0.004188201743197040
112,0.005760921959735130
113,0.007057812501648140
114,0.008029957395479360
115,0.008651743886789440
116,0.008920327421463650
117,0.008853561534224420
118,0.008486689686156140
119,0.007868858359066550
120,0.007058596308831520
121,0.006118974523725270
122,0.005113943208399860
123,0.004114639578886260
124,0.003313415967840470
125,0.004373177199250000
126,-0.000407262495047215
